title,summary,tags,filename,lastModified
AI and Ethics,"# AI and Ethics April 25, 2021 at Yatsu TMC --- ## Q1: If an autonumous driving car gets an accident, who is responsible for it? Manufacturer or Driver (Owner) --- ## Q2: If the zoom introduces a feat",,AI and ethics.md,2026-03-14T04:09:40
AI and ethics,,,AI and ethics.pdf,2026-03-14T04:09:40
Division D Director 選挙スピーチ,# Division D Director 選挙スピーチ ## 2020- 5-10 ![rain](sotomawari_ame_man.png) 雨にもまけず 風にもまけず コロナにもソーシャルディスタンスにもまけぬ 丈夫なからだをもち 欲はなく 決して怒らず いつもしずかにわらっている 一日に玄米四合と 味噌と少しの野菜ではちょっとたりないけれども あらゆることを じぶんをかんじょうに入れず,,Division Director Speech.md,2026-03-14T04:09:40
Do Androids Dream of Electric Sheep,,,Do Androids Dream of Electric Sheep.pptx,2026-03-14T04:09:40
Speech Info test,# Speech Info test ## PATHWAYS LEVEL5 PREPARE TO SPEAK PROFESSIONALLY ## Title: “Do My Imaginary Wives Dream of Electric Sheep?” ## Purpose: The purpose of this project is to practice developing and p,,Do My Imaginary Wives Dream of Electric Sheep.md,2026-03-14T04:09:40
Do My Imaginary Wives Dream of Electric Sheep,Do My Imaginary Wives Dream of Electric Sheep ? Do Androids Dream of Electric Sheep? (retitled Blade Runner: Do Androids Dream of Electric Sheep? in some later printings) is a science fiction novel by,,Do My Imaginary Wives Dream of Electric Sheep.pptx,2026-03-14T04:09:40
Drive my car,"Drive my car Vol. 1 May 2022 7,000 km 7,000 km Joined Inzai TMC from Maizuru 城崎にて Joined Kashiwa TMC from Tsuwano Enjoyed Nagasaki Dazifu and Yoshinogari Beautiful Sunset at Wakayama Kumano and Totsuk",,Drive my car_light.pptx,2026-03-14T04:09:40
Embrace,"Embrace Where I first heard the word Embrace Embrace the change,XP What need to be embraced? Change Difference Why those need to be embraced Why it is difficul? System 1 and 2",,Embrace.docx,2026-03-14T04:09:40
Pathways,Pathways って Before Pathways Competent Communication (CC) スピーチの基礎 Competent Leadership (CL) リーダーシップの基礎 Advanced Communication Series (15 種類 ) 場面や目的に応じたスピーチ The Entertaining Speaker Speaking to Inform P,,Ep02 Pathways 上からやるか？飛ばしてやるか？.pptx,2026-03-14T04:09:40
Fly Me To The Moon,# Fly Me To The Moon ## Path Effective Coaching Level 1 ## Project Ice Breaker ## Purpose The purpose of this project is to introduce yourself to the club and learn the basic structure of a public spe,,Fly Me To The Moon.md,2026-03-14T04:09:40
Flyer_MasayukiTanaka,,,Flyer_MasayukiTanaka.pdf,2026-03-14T04:09:40
GTD,GTD Getting Things Done https://ja.wikipedia.org/wiki/Getting_Things_Done ? ! 「やらなくてもいいことなら、やらない。 やらなければいけないことは手短に。」,,GTD.pptx,2026-03-14T04:09:40
HIIT,HIIT のすすめ Q1: HIIT 知ってますか？ High Intensity Interval Training 高強度インターバルトレーニング インターバルトレーニングの拡張形で、不完全回復をはさみながら高強度・短時間の運動（無酸素運動）を繰り返すトレーニング方法である。高強度間欠的運動 (HIIE) や スプリントインターバルトレーニング (SIT) や VO2max インターバルトレー,,HIITのすすめ.pptx,2026-03-14T04:09:40
